Season;Round;Leg;HomeTeam;AwayTeam;Score;HomeGoals;AwayGoals;WinningTeam;LosingTeam
2020-2021;sixteen;first leg;Gladbach;Manchester City;0–2;0;2;Manchester City;Gladbach
2020-2021;sixteen;second_leg;Manchester City;Gladbach;2–0;2;0;Manchester City;Gladbach
2020-2021;sixteen;first leg;Lazio;Bayern Munich;1–4;1;4;Bayern Munich;Lazio
2020-2021;sixteen;second_leg;Bayern Munich;Lazio;2–1;2;1;Bayern Munich;Lazio
2020-2021;sixteen;first leg;Atalanta;Real Madrid;0–1;0;1;Real Madrid;Atalanta
2020-2021;sixteen;second_leg;Real Madrid;Atalanta;3–1;3;1;Real Madrid;Atalanta
2020-2021;sixteen;first leg;RB Leipzig;Liverpool;0–2;0;2;Liverpool;RB Leipzig
2020-2021;sixteen;second_leg;Liverpool;RB Leipzig;2–0;2;0;Liverpool;RB Leipzig
2020-2021;sixteen;first leg;Sevilla;Borussia Dortmund;2–3;2;3;Borussia Dortmund;Sevilla
2020-2021;sixteen;second_leg;Borussia Dortmund;Sevilla;2–2;2;2;Draw;Draw
2020-2021;sixteen;first leg;Atlético Madrid;Chelsea;0–1;0;1;Chelsea;Atlético Madrid
2020-2021;sixteen;second_leg;Chelsea;Atlético Madrid;2–0;2;0;Chelsea;Atlético Madrid
2020-2021;sixteen;first leg;Porto;Juventus;2–1;2;1;Porto;Juventus
2020-2021;sixteen;second_leg;Juventus;Porto;3–2;3;2;Juventus;Porto
2021-2022;final;first leg;Real Madrid;Liverpool;1–0;1;0;Real Madrid;Liverpool
2021-2022;semis;first leg;Liverpool;Villarreal;2–0;2;0;Liverpool;Villarreal
2021-2022;semis;second_leg;Villarreal;Liverpool;2–3;2;3;Liverpool;Villarreal
2021-2022;semis;first leg;Manchester City;Real Madrid;4–3;4;3;Manchester City;Real Madrid
2021-2022;semis;second_leg;Real Madrid;Manchester City;3–1;3;1;Real Madrid;Manchester City
2021-2022;quarter;first leg;Villarreal;Bayern Munich;1–0;1;0;Villarreal;Bayern Munich
2021-2022;quarter;second_leg;Bayern Munich;Villarreal;1–1;1;1;Draw;Draw
2021-2022;quarter;first leg;Benfica;Liverpool;1–3;1;3;Liverpool;Benfica
2021-2022;quarter;second_leg;Liverpool;Benfica;3–3;3;3;Draw;Draw
2021-2022;quarter;first leg;Chelsea;Real Madrid;1–3;1;3;Real Madrid;Chelsea
2021-2022;quarter;second_leg;Real Madrid;Chelsea;2–3;2;3;Chelsea;Real Madrid
2021-2022;quarter;first leg;Manchester City;Atlético Madrid;1–0;1;0;Manchester City;Atlético Madrid
2021-2022;quarter;second_leg;Atlético Madrid;Manchester City;0–0;0;0;Draw;Draw
2021-2022;sixteen;first leg;Sporting CP;Manchester City;0–5;0;5;Manchester City;Sporting CP
2021-2022;sixteen;second_leg;Manchester City;Sporting CP;0–0;0;0;Draw;Draw
2021-2022;sixteen;first leg;Atlético Madrid;Manchester United;1–1;1;1;Draw;Draw
2021-2022;sixteen;second_leg;Manchester United;Atlético Madrid;0–1;0;1;Atlético Madrid;Manchester United
2021-2022;sixteen;first leg;Benfica;Ajax;2–2;2;2;Draw;Draw
2021-2022;sixteen;second_leg;Ajax;Benfica;0–1;0;1;Benfica;Ajax
2021-2022;sixteen;first leg;RB Salzburg;Bayern Munich;1–1;1;1;Draw;Draw
2021-2022;sixteen;second_leg;Bayern Munich;RB Salzburg;7–1;7;1;Bayern Munich;RB Salzburg
2021-2022;sixteen;first leg;Chelsea;Lille;2–0;2;0;Chelsea;Lille
2021-2022;sixteen;second_leg;Lille;Chelsea;1–2;1;2;Chelsea;Lille
2021-2022;sixteen;first leg;Inter Milan;Liverpool;0–2;0;2;Liverpool;Inter Milan
2021-2022;sixteen;second_leg;Liverpool;Inter Milan;0–1;0;1;Inter Milan;Liverpool
2021-2022;sixteen;first leg;Villarreal;Juventus;1–1;1;1;Draw;Draw
2021-2022;sixteen;second_leg;Juventus;Villarreal;0–3;0;3;Villarreal;Juventus
2021-2022;sixteen;first leg;Paris Saint Germain;Real Madrid;1–0;1;0;Paris Saint Germain;Real Madrid
2021-2022;sixteen;second_leg;Real Madrid;Paris Saint Germain;3–1;3;1;Real Madrid;Paris Saint Germain
2022-2023;final;first leg;Manchester City;Inter Milan;1–0;1;0;Manchester City;Inter Milan
2022-2023;semis;first leg;Real Madrid;Manchester City;1–1;1;1;Draw;Draw
2022-2023;semis;second_leg;Manchester City;Real Madrid;4–0;4;0;Manchester City;Real Madrid
2022-2023;semis;first leg;AC Milan;Inter Milan;0–2;0;2;Inter Milan;AC Milan
2022-2023;semis;second_leg;Inter Milan;AC Milan;1–0;1;0;Inter Milan;AC Milan
2022-2023;quarter;first leg;Manchester City;Bayern Munich;3–0;3;0;Manchester City;Bayern Munich
2022-2023;quarter;second_leg;Bayern Munich;Manchester City;1–1;1;1;Draw;Draw
2022-2023;quarter;first leg;Benfica;Inter Milan;0–2;0;2;Inter Milan;Benfica
2022-2023;quarter;second_leg;Inter Milan;Benfica;3–3;3;3;Draw;Draw
2022-2023;quarter;first leg;Real Madrid;Chelsea;2–0;2;0;Real Madrid;Chelsea
2022-2023;quarter;second_leg;Chelsea;Real Madrid;0–2;0;2;Real Madrid;Chelsea
2022-2023;quarter;first leg;AC Milan;Napoli;1–0;1;0;AC Milan;Napoli
2022-2023;quarter;second_leg;Napoli;AC Milan;1–1;1;1;Draw;Draw
2022-2023;sixteen;first leg;AC Milan;Tottenham Hotspur;1–0;1;0;AC Milan;Tottenham Hotspur
2022-2023;sixteen;second_leg;Tottenham Hotspur;AC Milan;0–0;0;0;Draw;Draw
2022-2023;sixteen;first leg;Inter Milan;Porto;1–0;1;0;Inter Milan;Porto
2022-2023;sixteen;second_leg;Porto;Inter Milan;0–0;0;0;Draw;Draw
2022-2023;sixteen;first leg;Liverpool;Real Madrid;2–5;2;5;Real Madrid;Liverpool
2022-2023;sixteen;second_leg;Real Madrid;Liverpool;1–0;1;0;Real Madrid;Liverpool
2022-2023;sixteen;first leg;RB Leipzig;Manchester City;1–1;1;1;Draw;Draw
2022-2023;sixteen;second_leg;Manchester City;RB Leipzig;7–0;7;0;Manchester City;RB Leipzig
2022-2023;sixteen;first leg;Borussia Dortmund;Chelsea;1–0;1;0;Borussia Dortmund;Chelsea
2022-2023;sixteen;second_leg;Chelsea;Borussia Dortmund;2–0;2;0;Chelsea;Borussia Dortmund
2022-2023;sixteen;first leg;Paris Saint Germain;Bayern Munich;0–1;0;1;Bayern Munich;Paris Saint Germain
2022-2023;sixteen;second_leg;Bayern Munich;Paris Saint Germain;2–0;2;0;Bayern Munich;Paris Saint Germain
2022-2023;sixteen;first leg;Eintracht Frankfurt;Napoli;0–2;0;2;Napoli;Eintracht Frankfurt
2022-2023;sixteen;second_leg;Napoli;Eintracht Frankfurt;3–0;3;0;Napoli;Eintracht Frankfurt
2022-2023;sixteen;first leg;Club Brugge;Benfica;0–2;0;2;Benfica;Club Brugge
2022-2023;sixteen;second_leg;Benfica;Club Brugge;5–1;5;1;Benfica;Club Brugge
