Season;Round;Leg;HomeTeam;AwayTeam;Score
2016-2017;quarter;second_leg;Leicester City;Atlético Madrid;1–1
2016-2017;quarter;first leg;Dortmund;Monaco;2–3
2016-2017;quarter;second_leg;Monaco;Dortmund;3–1
2016-2017;sixteen;first leg;Bayern Munich;Arsenal;5–1
2016-2017;sixteen;second_leg;Arsenal;Bayern Munich;1–5
2016-2017;sixteen;first leg;Porto;Juventus;0–2
2016-2017;sixteen;second_leg;Juventus;Porto;1–0
2016-2017;sixteen;first leg;Benfica;Dortmund;1–0
2016-2017;sixteen;second_leg;Dortmund;Benfica;4–0
2016-2017;sixteen;first leg;Sevilla;Leicester City;2–1
2016-2017;sixteen;second_leg;Leicester City;Sevilla;2–0
2016-2017;sixteen;first leg;Manchester City;Monaco;5–3
2016-2017;sixteen;second_leg;Monaco;Manchester City;3–1
2016-2017;sixteen;first leg;Leverkusen;Atlético Madrid;2–4
2016-2017;sixteen;second_leg;Atlético Madrid;Leverkusen;0–0
2016-2017;sixteen;first leg;Real Madrid;Napoli;3–1
2016-2017;sixteen;second_leg;Napoli;Real Madrid;1–3
2016-2017;sixteen;first leg;Paris S-G;Barcelona;4–0
2016-2017;sixteen;second_leg;Barcelona;Paris S-G;6–1
2017-2018;final;first leg;Real Madrid;Liverpool;3–1
2017-2018;semis;first leg;Bayern Munich;Real Madrid;1–2
2017-2018;semis;second_leg;Real Madrid;Bayern Munich;2–2
2017-2018;semis;first leg;Liverpool;Roma;5–2
2017-2018;semis;second_leg;Roma;Liverpool;4–2
2017-2018;quarter;first leg;Barcelona;Roma;4–1
2017-2018;quarter;second_leg;Roma;Barcelona;3–0
2017-2018;quarter;first leg;Sevilla;Bayern Munich;1–2
2017-2018;quarter;second_leg;Bayern Munich;Sevilla;0–0
2017-2018;quarter;first leg;Liverpool;Manchester City;3–0
2017-2018;quarter;second_leg;Manchester City;Liverpool;1–2
2017-2018;quarter;first leg;Juventus;Real Madrid;0–3
2017-2018;quarter;second_leg;Real Madrid;Juventus;1–3
2017-2018;sixteen;first leg;Bayern Munich;Beşiktaş;5–0
2017-2018;sixteen;second_leg;Beşiktaş;Bayern Munich;1–3
2017-2018;sixteen;first leg;Sevilla;Manchester Utd;0–0
2017-2018;sixteen;second_leg;Manchester Utd;Sevilla;1–2
2017-2018;sixteen;first leg;Juventus;Tottenham;2–2
2017-2018;sixteen;second_leg;Tottenham;Juventus;1–2
2017-2018;sixteen;first leg;Porto;Liverpool;0–5
2017-2018;sixteen;second_leg;Liverpool;Porto;0–0
2017-2018;sixteen;first leg;Chelsea;Barcelona;1–1
2017-2018;sixteen;second_leg;Barcelona;Chelsea;3–0
2017-2018;sixteen;first leg;Basel;Manchester City;0–4
2017-2018;sixteen;second_leg;Manchester City;Basel;1–2
2017-2018;sixteen;first leg;Real Madrid;Paris S-G;3–1
2017-2018;sixteen;second_leg;Paris S-G;Real Madrid;1–2
2017-2018;sixteen;first leg;Shakhtar;Roma;2–1
2017-2018;sixteen;second_leg;Roma;Shakhtar;1–0
2018-2019;final;first leg;Liverpool;Tottenham;2–0
2018-2019;semis;first leg;Tottenham;Ajax;0–1
2018-2019;semis;second_leg;Ajax;Tottenham;2–3
2018-2019;semis;first leg;Barcelona;Liverpool;3–0
2018-2019;semis;second_leg;Liverpool;Barcelona;4–0
2018-2019;quarter;first leg;Manchester Utd;Barcelona;0–1
2018-2019;quarter;second_leg;Barcelona;Manchester Utd;3–0
2018-2019;quarter;first leg;Liverpool;Porto;2–0
2018-2019;quarter;second_leg;Porto;Liverpool;1–4
2018-2019;quarter;first leg;Tottenham;Manchester City;1–0
2018-2019;quarter;second_leg;Manchester City;Tottenham;4–3
2018-2019;quarter;first leg;Ajax;Juventus;1–1
2018-2019;quarter;second_leg;Juventus;Ajax;1–2
2018-2019;sixteen;first leg;Liverpool;Bayern Munich;0–0
2018-2019;sixteen;second_leg;Bayern Munich;Liverpool;1–3
2018-2019;sixteen;first leg;Ajax;Real Madrid;1–2
2018-2019;sixteen;second_leg;Real Madrid;Ajax;1–4
2018-2019;sixteen;first leg;Tottenham;Dortmund;3–0
2018-2019;sixteen;second_leg;Dortmund;Tottenham;0–1
2018-2019;sixteen;first leg;Schalke 04;Manchester City;2–3
2018-2019;sixteen;second_leg;Manchester City;Schalke 04;7–0
2018-2019;sixteen;first leg;Roma;Porto;2–1
2018-2019;sixteen;second_leg;Porto;Roma;3–1
2018-2019;sixteen;first leg;Lyon;Barcelona;0–0
2018-2019;sixteen;second_leg;Barcelona;Lyon;5–1
2018-2019;sixteen;first leg;Atlético Madrid;Juventus;2–0
2018-2019;sixteen;second_leg;Juventus;Atlético Madrid;3–0
2018-2019;sixteen;first leg;Manchester Utd;Paris S-G;0–2
2018-2019;sixteen;second_leg;Paris S-G;Manchester Utd;1–3
2019-2020;final;first leg;Bayern Munich;Paris S-G;1–0
2019-2020;sixteen;first leg;Tottenham;RB Leipzig;0–1
2019-2020;sixteen;second_leg;RB Leipzig;Tottenham;3–0
2019-2020;sixteen;first leg;Real Madrid;Manchester City;1–2
2019-2020;sixteen;second_leg;Manchester City;Real Madrid;2–1
2019-2020;sixteen;first leg;Atlético Madrid;Liverpool;1–0
2019-2020;sixteen;second_leg;Liverpool;Atlético Madrid;2–3
2019-2020;sixteen;first leg;Dortmund;Paris S-G;2–1
2019-2020;sixteen;second_leg;Paris S-G;Dortmund;2–0
2019-2020;sixteen;first leg;Chelsea;Bayern Munich;0–3
2019-2020;sixteen;second_leg;Bayern Munich;Chelsea;4–1
2019-2020;sixteen;first leg;Napoli;Barcelona;1–1
2019-2020;sixteen;second_leg;Barcelona;Napoli;3–1
2019-2020;sixteen;first leg;Atalanta;Valencia;4–1
2019-2020;sixteen;second_leg;Valencia;Atalanta;3–4
2019-2020;sixteen;first leg;Lyon;Juventus;1–0
2019-2020;sixteen;second_leg;Juventus;Lyon;2–1
2020-2021;final;first leg;Chelsea;Manchester City;1–0
2020-2021;semis;first leg;Real Madrid;Chelsea;1–1
2020-2021;semis;second_leg;Chelsea;Real Madrid;2–0
2020-2021;semis;first leg;Paris S-G;Manchester City;1–2
2020-2021;semis;second_leg;Manchester City;Paris S-G;2–0
2020-2021;quarter;first leg;Bayern Munich;Paris S-G;2–3
2020-2021;quarter;second_leg;Paris S-G;Bayern Munich;0–1
2020-2021;quarter;first leg;Porto;Chelsea;0–2
2020-2021;quarter;second_leg;Chelsea;Porto;0–1
2020-2021;quarter;first leg;Real Madrid;Liverpool;3–1
2020-2021;quarter;second_leg;Liverpool;Real Madrid;0–0
2020-2021;quarter;first leg;Manchester City;Dortmund;2–1
2020-2021;quarter;second_leg;Dortmund;Manchester City;1–2
2020-2021;sixteen;first leg;Barcelona;Paris S-G;1–4
2020-2021;sixteen;second_leg;Paris S-G;Barcelona;1–1
2020-2021;sixteen;first leg;Gladbach;Manchester City;0–2
2020-2021;sixteen;second_leg;Manchester City;Gladbach;2–0
2020-2021;sixteen;first leg;Lazio;Bayern Munich;1–4
2020-2021;sixteen;second_leg;Bayern Munich;Lazio;2–1
2020-2021;sixteen;first leg;Atalanta;Real Madrid;0–1
2020-2021;sixteen;second_leg;Real Madrid;Atalanta;3–1
2020-2021;sixteen;first leg;RB Leipzig;Liverpool;0–2
2020-2021;sixteen;second_leg;Liverpool;RB Leipzig;2–0
2020-2021;sixteen;first leg;Sevilla;Dortmund;2–3
2020-2021;sixteen;second_leg;Dortmund;Sevilla;2–2
2020-2021;sixteen;first leg;Atlético Madrid;Chelsea;0–1
2020-2021;sixteen;second_leg;Chelsea;Atlético Madrid;2–0
2020-2021;sixteen;first leg;Porto;Juventus;2–1
2020-2021;sixteen;second_leg;Juventus;Porto;3–2
2021-2022;final;first leg;Real Madrid;Liverpool;1–0
2021-2022;semis;first leg;Liverpool;Villarreal;2–0
2021-2022;semis;second_leg;Villarreal;Liverpool;2–3
2021-2022;semis;first leg;Manchester City;Real Madrid;4–3
2021-2022;semis;second_leg;Real Madrid;Manchester City;3–1
2021-2022;quarter;first leg;Villarreal;Bayern Munich;1–0
